name,brand,category,sales_volume,sales_volume_per_unit,new,termination,cost
모드락F&B,100번냉면,한식,0,0,0,0,"75,580"
1983에프앤씨,1983김치찌개,한식,0,0,0,0,"41,700"
(주)하륜일만족발,1kg정성담은죽,한식,0,0,0,0,"33,482"
(주)카페원플러스원,1LiTER COFFEE(일리터커피),커피,"51,674","3,072",0,0,"62,510"
더제이푸드,1키로탕수육,중식,0,0,0,0,"21,020"
(주)더블류스텔라,24티에스라운지,기타 외식,"14,981",426,0,0,"236,825"
(주)델리치랩,25카츠,일식,"251,248","11,795",1,4,"82,300"
79푸드컴퍼니(주),79네수육국밥,기타 외식,"398,049","7,559",0,5,"110,600"
(주)티아이컴퍼니(T.I.COMPANY),8선곱창전골,한식,"69,555","6,956",4,3,"51,500"
군계글로벌스,94925닭꼬치,기타 외식,0,0,1,0,"58,300"
(주)빅트리컴퍼니,COFFEE COOK (커피쿡),커피,"147,492","8,536",11,10,"58,650"
커피퍽바이미스터케이,COFFEE PUCK,커피,0,0,0,0,"84,649"
(주)커피니,COFFEENIE,커피,"102,223","3,049",5,17,"11,800"
(주)코리아프렌드,D’ THREE(디쓰리),음료 (커피 외),0,0,0,0,"49,000"
(주)정명에프앤비,FUNKY DONUT,제과제빵,,,0,0,"227,100"
지티에스버거,GTS BURGER,패스트푸드,0,0,6,0,"79,700"
KFCAsiaHoldingsLLC,KFC,패스트푸드,"945,377","14,622",22,9,"417,900"
재경푸드텍,KOKUMI,일식,0,0,0,0,"93,300"
KOOPJA,KOOPJA(꿉자),패스트푸드,"245,357","17,652",2,0,"45,100"
엘에이(LA)코코보일링1,LA코코보일링,한식,0,0,0,0,"148,949"
(주)사실주의컴퍼니,Moku816,커피,0,0,0,0,"65,670"
에스알제이에프엔씨(SRJF&C),OEC통치킨,치킨,0,0,1,0,"5,500"
흥성에프디,One&Two깻잎두마리치킨,치킨,"63,222","4,131",7,11,"29,270"
신스패밀리,PIZZA BLACK 0115(피자블랙0115),피자,0,0,0,0,"48,650"
에스에스오지(SSOG),SSOG,주점,0,0,0,0,"93,300"
7번길(7street),TACO15,기타 외국식,0,0,0,0,"82,700"
신스패밀리,THE PIZZA(더피자),피자,"354,498","21,268",4,2,"48,650"
(주)더광일푸드,THE 팔당,한식,0,0,0,0,"103,450"
(주)웰니스레시피,YOGO FROZEN YOGURT,기타 외식,0,0,0,0,"54,900"
(주)엄마손에프엔비,ㅇㅁㅅ옹기종기엄마손칼국수,한식,0,0,0,0,"83,300"
(주)태승에프앤씨,眞감동낙곱새,한식,0,0,0,0,"59,200"
(주)가드니아,가드니아,제과제빵,0,0,3,0,"729,000"
서가김푸드FC,가든쿡,서양식,"61,205","2,840",58,10,"51,840"
(주)한밭에프앤지,가락곰칼국수,한식,0,0,0,0,"68,030"
(주)미라크,가락동 리어카포차,주점,"99,077","5,146",2,12,"122,350"
(주)풍산지앤에프,가마실감자탕,한식,0,0,0,0,"85,600"
(주)에스앤켄,가우초(Gaucho) 곱창,기타 외식,0,0,0,0,"110,100"
(주)아이언가이즈,가이즈딜리버리,기타 외식,0,0,0,0,"61,850"
푸드리퍼블릭코리아(유),간코,일식,0,,1,1,"102,320"
닭터박,갈비고,한식,0,0,0,0,"56,000"
퍼스트프랜차이즈,갈비오브미,한식,0,0,0,1,"96,740"
(주)아이언가이즈,감자탑,한식,0,0,0,2,"35,633"
(주)나이스패밀리,강남대패&샤브,한식,0,0,0,0,"98,370"
(주)창구에프앤씨,강창구찹쌀진순대,한식,"656,993","11,937",3,4,"99,400"
(주)이바돔,강촌식당,한식,"194,416","6,192",0,0,"115,300"
은솔,개성집,기타 외식,"171,634","2,608",2,17,"102,300"
씨밀레,검은냉면,한식,0,0,0,0,"46,100"
㈜바른에프엔디,경기미당,한식,"88,031","7,954",15,0,"72,200"
(주)아이언가이즈,계념찜닭,한식,"3,148",400,25,18,"35,633"
대성푸드,고기가뜩 김치찜,한식,0,0,0,0,"44,800"
명작에프앤비(주),고기명작,한식,,,0,0,"161,900"
㈜고더컴퍼니,고더커피,커피,0,0,0,0,"69,265"
(주)고동컴퍼니,고동함박,기타 외식,0,0,0,0,"132,000"
(주)고맨드컴퍼니,고맨드버거,패스트푸드,,,0,0,"71,540"
(주)미트킹,고무신,기타 외식,0,0,1,0,"36,650"
(주)지오비에이엔,고반가든,한식,0,0,0,0,"356,180"
(주)지오비에이엔,고반식당,기타 외식,"609,894","12,652",6,0,"139,250"
고집불통식빵싸부,고집불통식빵싸부,제과제빵,0,0,0,2,"83,300"
(주)더맛있는생각,고향옥얼큰순대국,한식,"694,957","19,281",3,3,"110,000"
(주)정담에프앤비,곤트란쉐리에(Gontran Cherrier),제과제빵,0,0,2,0,"314,150"
(주)제이스타임,곰브라더스,기타 외식,0,0,0,3,"65,450"
곰챙이,곰챙이,한식,,,0,0,"120,700"
쉐프의연구소,곱창에 걸다,한식,0,0,13,0,"58,400"
㈜커머스인터네셔널,곱창의품격,한식,0,0,0,0,"46,100"
(주)공만치킨,공만치킨,치킨,0,0,23,6,"69,495"
공주닭발,공주닭발,한식,0,0,0,0,"57,650"
(주)홀릭코퍼레이션,과일에반하다.프루타,음료 (커피 외),0,0,13,1,"74,600"
곽쌍동할매메밀막국수국밥,곽쌍동할매메밀막국수국밥,한식,,,0,0,"79,450"
닭터박,광수네 전골,한식,0,0,0,0,"56,000"
(주)청춘에프앤비,구구닭발,주점,0,0,0,0,"73,150"
구수한사람들(주),구수옥,한식,0,0,0,0,"285,700"
구수한사람들(주),구수회,일식,0,0,0,0,"285,700"
(주)구여사컵밥,구여사 컵밥,한식,0,0,0,0,"42,800"
스마일딜리버리푸드,국대배달삼겹&갈비,한식,0,0,1,0,"45,000"
국민감자탕,국민감자탕,한식,0,0,0,0,"128,500"
국민푸드,국민닭발,기타 외식,"350,872","18,045",0,3,"64,150"
치킨튀기는영양사,국민통닭,치킨,0,0,1,0,"59,800"
국밥관정,국밥관,한식,0,0,0,0,"98,800"
그집푸드,국밥도감,한식,,,0,0,"52,800"
㈜딜리버링,국밥생각,한식,"100,623","7,509",4,0,"40,050"
엘에스리테일,국보미역,한식,0,0,0,0,"80,000"
케이씨컴퍼니,국사랑,한식,"110,776","8,236",19,8,"58,100"
(주)에프엠투,국제갈비,한식,0,0,0,1,"129,900"
그남자의돼지갈비,그남자의 돼지갈비,한식,0,0,1,1,"80,900"
그놈들컴퍼니,그놈포차,한식,"183,845","7,805",9,0,"75,480"
(주)시원전설의푸드,그대로통닭,치킨,,,0,0,"45,800"
삼거리시장국수&냉면상인점,그래 순살만,한식,0,0,0,0,"17,831"
(주)아이언가이즈,그린텃밭,기타 외식,0,0,0,0,"93,860"
그집푸드,그집곱닭도리탕,한식,0,0,48,9,"52,800"
"(주)에프앤비스페이스(F&BSpaceCo.,Ltd.)",글린정원,서양식,0,0,0,0,"472,700"
금계총판㈜,금계통닭,한식,0,0,0,0,"35,540"
금상수상쉐프의맛좋은족발,금상족발,기타 외식,0,0,0,0,"50,426"
(주)비티브랜즈코리아,기기커피,커피,,,1,1,"74,000"
(주)올림엔터프라이즈,기센국밥,한식,0,0,0,1,"62,800"
길닭,길닭,치킨,0,0,1,1,"59,630"
(주)길성이,길성이,한식,"279,848","3,186",0,5,"277,120"
(주)길성이,길성이가집으로,한식,0,0,0,0,"43,800"
(주)길성이,길성이꼬기꼬기,한식,0,0,0,0,"68,700"
(주)길성이,길성이닭발,한식,0,0,0,0,"46,900"
(주)길성이,길성이삼계탕,한식,0,0,0,0,"196,100"
(주)길성이,길성이치킨,치킨,0,0,0,4,"198,120"
(주)해랑에프엔비,김못참,한식,0,0,0,0,"56,500"
(주)봉남푸드,김봉남포장마차,주점,"168,694","7,600",0,0,"72,950"
더블비코리아,김봉환의오류닭발,한식,0,0,0,0,"81,300"
김삼구-김치삼겹구이,김삼구,한식,0,0,0,0,"63,050"
(주)대단한에프앤비,김준호의대단한커피,커피,0,0,2,0,"67,350"
(주)아이언가이즈,김치백서,한식,0,0,0,0,"50,380"
(주)지오비에이엔,김치옥,한식,0,0,1,0,"112,300"
짱가네,김태진PorkFork(포크포크),기타 외식,0,0,1,4,"49,830"
(주)솔트앤슈가,김피라(kimpira),분식,"89,971","3,528",1,2,"138,200"
좋은일을만드는사람들,깍두기,기타 외식,0,0,0,0,"107,000"
(주)깐깐한패밀리,깐깐한족발,기타 외식,"1,109,973","31,384",3,3,"135,650"
(주)깐부,깐부치킨,치킨,"258,247","9,798",4,23,"108,000"
(주)마중물컴퍼니,꺼꾸잽이 초장집,기타 외식,0,0,4,0,"78,500"
(주)동은에프엔씨,꼬기냉면,한식,0,0,1,2,"79,800"
꼬꼬스토리,꼬꼬STORY(꼬꼬스토리),기타 외식,0,0,1,2,"42,900"
(주)더콥,꼬꼬봉투통닭,치킨,,,0,1,"33,450"
일당백,꼬꼬장작,치킨,0,0,0,0,"94,300"
비범한녀석들,꼬치공방,기타 외식,0,0,0,0,"80,000"
꽂따,꽂따,치킨,0,0,0,0,"149,300"
꽃보다파스타,꽃보다파스타,서양식,0,0,0,0,"75,150"
(주)꽃비,꽃비 flower rain,일식,0,0,0,0,"93,600"
닭터박,꾸이한끼,기타 외식,"64,202","4,596",77,17,"56,000"
꿀때기,꿀때기,한식,0,0,0,0,"8,700"
(주)함께담는물,나홀로보쌈,한식,0,0,0,0,"31,430"
(주)행복을만드는사람들,낙원갈비집,한식,"478,758","6,967",1,0,"294,630"
(유)난타5000,난타5000피자,피자,"115,847","9,190",0,0,"65,700"
(주)제이피파트너스,남대문 칼국수,한식,0,0,0,0,"74,500"
(주)오버플로우,남도분식,분식,"233,641","35,433",4,5,"108,100"
(주)올라스에프앤씨,남파랑국밥,한식,0,0,0,0,"99,450"
낭만닭발,낭만닭발,기타 외식,0,0,0,2,"102,600"
낭만시스터,낭만시스터,기타 외식,0,0,0,0,"51,150"
내가이나라의국수다가맹본부,내가이나라의국수다,한식,0,0,3,0,"61,850"
(주)내조국국밥,내조국국밥,한식,"356,023","10,471",8,1,"125,600"
금화푸드.냠냠숯불두마리치킨,냠냠숯불두마리치킨,치킨,"194,437","15,280",29,10,"46,100"
(주)티엘에프앤씨,노가리&BEER,기타 외식,"105,910","3,979",7,30,"72,770"
(주)리앤브라더스컴퍼니,노군꼬치,기타 외식,"183,483","9,639",11,13,"73,200"
제이비패밀리컴퍼니,노랑분식,분식,0,0,0,0,"69,000"
노성일참치,노성일참치,기타 외식,0,0,0,0,"93,000"
(주)숲풀림식품,놀란곱창,한식,"54,615","4,468",0,0,"64,700"
(주)숲풀림식품,놀란돼지,한식,"105,148","3,850",0,0,"64,700"
(주)아디씨,놀러와플,제과제빵,0,0,10,0,"46,100"
농담,농담,서양식,0,0,0,0,"62,700"
(주)수혁,뉴욕버거,패스트푸드,"260,698","11,767",31,18,"102,050"
(주)티앤엠디,뉴욕쟁이디저트,커피,"74,495","4,936",36,9,"82,750"
진F&S,다기몽,치킨,,,0,0,"65,350"
신미푸드시스템,다꾸바숯불두마리치킨,치킨,0,0,0,0,"39,720"
(주)아이언가이즈,다미조,주점,0,0,0,0,"35,633"
닥치고곱창,닥치고곱창,한식,"115,989","9,061",3,5,"66,050"
봄봄식탁,단당,분식,0,0,0,0,"52,600"
단물곤물,단물곤물,한식,"119,233","4,437",0,2,"140,720"
단성무이,단성무이,주점,0,0,0,0,"139,170"
세화푸드,달떡볶이,분식,"297,890","33,145",41,1,"61,050"
(주)더불어함께하는세상,달려라봉쥬비어,주점,0,0,0,11,"51,150"
(주)제이에스인터푸드,달빛맥주,주점,"88,105","4,301",9,19,"60,300"
(주)닥인흥업,닭갈비제작소,한식,"43,153","7,869",0,8,"106,700"
(주)한국인,닭광정,치킨,"133,755","12,660",0,0,"67,900"
㈜헬로에프앤비,닭대장,기타 외식,"153,953","7,697",0,0,"109,700"
닭터박,닭도리 뉴욕가다,한식,0,0,0,0,"56,000"
닭터박,닭터박강정떡볶이,분식,"11,209",850,5,8,"56,000"
(주)아이언가이즈,닭터케이,한식,0,0,0,0,"109,910"
(주)담미온에프앤비,담미온,한식,"499,070","16,052",4,4,"130,800"
대관령푸드,대관령양푼이동태찌개,한식,"193,415","4,153",1,1,"89,497"
그집푸드,대박삼겹김치찜&초대박등갈비김치찜,한식,0,0,53,0,"52,800"
(주)대대손손,대손관,분식,"786,665","15,723",1,2,"152,000"
대한컴퍼니,대한맥주집,치킨,"119,474","4,960",2,5,"88,000"
대한민국만세삼계탕,대한민국 만세 삼계탕,한식,0,0,1,0,"109,500"
치킨89,대한치킨보감,치킨,0,0,0,0,"65,150"
대한컴퍼니,대한치킨집,치킨,0,0,0,0,"55,300"
(주)씨피알프로젝트,더담덮밥,한식,0,0,0,0,"60,750"
더만족,더만족,한식,"334,445","8,993",1,5,"101,900"
더맨타코본점,더맨타코,서양식,0,0,3,0,"60,046"
세영이지(주),더베이크,제과제빵,"211,047","12,240",6,7,"86,900"
(주)프리스코,더브라운(THE BROWN),제과제빵,"272,349","6,457",0,4,"201,572"
(주)제이에스케이에프앤비,더블핸드스테이크,기타 외식,0,0,0,5,"61,500"
지오디,더썬치킨,치킨,"97,279","4,045",1,2,"45,665"
더크로플,더크로플,커피,0,0,1,0,"62,050"
(주)그레이스식품,더하고부대찌개,기타 외식,"291,241","8,544",1,0,"115,300"
㈜씨피알프로젝트,덕수파스타,서양식,0,0,34,1,"58,825"
(주)테이스티브라더스,덮밥 장사장,기타 외식,0,0,0,0,"18,125"
(주)아이언가이즈,덮밥제작소,한식,0,0,0,0,"35,633"
(주)아지트메이커,도담치킨,치킨,"258,851","23,531",0,8,"114,400"
한국주방뱅크,도도한돈,한식,0,0,0,0,"216,800"
도리도리닭도리탕,도리도리닭도리탕,한식,0,0,2,0,"8,690"
D.RHOLDINGS,도리명가,한식,"179,709","6,589",0,0,"122,150"
(주)일프로,도시락정거장,기타 외식,0,0,0,0,"44,550"
도조스시,도조스시,일식,,,2,0,"71,300"
(주)참쉬운푸드솔루션,돈갓,서양식,"198,859","9,127",35,46,"25,000"
돈기부여,돈기부여,기타 외식,"139,068","11,371",20,23,"31,900"
그집푸드,돈돼기리 갈비찜,한식,0,0,7,0,"52,800"
돈더미,돈무디,한식,0,0,1,0,"137,500"
(주)호랑이푸드,돈부리 파스타,기타 외국식,0,0,0,0,0
돈카와치돈까스앤우동,돈카와치,일식,"217,761",0,3,0,"40,600"
읍천리382가맹본부,동가리카페,음료 (커피 외),0,0,0,0,"83,600"
더제이푸드,동까스1988,일식,0,0,0,0,"21,350"
(주)함께담는물,동래1957백갈비식당,한식,0,0,0,0,"92,750"
(주)동네방네,동방생고기,한식,,,0,0,"82,560"
의정부동오부대찌개,동오부대찌개,기타 외식,0,0,0,0,"64,020"
(주)위푸드마켓,돼지33,한식,"249,181","22,842",0,3,"53,900"
돼지청문회본사돼지청문회축산,돼지청문회,한식,0,0,0,1,"85,600"
두강곱창광교직영점,두강곱창,기타 외식,0,0,0,0,"118,850"
(주)아이언가이즈,두돈까스,한식,"37,983","2,291",45,16,"35,633"
두들리도넛행리단길점,두들리도넛,기타 외식,0,0,0,0,"87,855"
두부품은육개장,두부품은육개장,한식,0,0,0,0,"93,300"
(주)자력갱생,두잇다이어트,기타 외식,0,0,12,0,"37,905"
두레푸드,두죽,한식,0,0,28,0,"37,300"
은강푸드,두툼,일식,0,0,0,0,"18,600"
(주)도브라더스,드래곤스퀘어디트로이트피자,피자,,,0,0,"121,330"
(주)다도글로벌,드롭탑(DROPTOP),커피,,,32,48,"113,169"
(주)프랜푸드,땅땅치킨,치킨,"159,074","8,137",53,67,"90,418"
땡초불날개(땡불)&불곱창,땡초불날개&불곱창,한식,0,0,0,0,"24,000"
(주)이루에프씨,땡큐맘치킨,치킨,"114,081","7,746",0,4,"49,400"
씨밀레,떡갈비주는 도시락,한식,0,0,4,0,"46,100"
(주)신우푸드,떡군이네떡볶이,분식,"193,447","14,711",150,21,"52,400"
깨비F&B,떡깨비,분식,"82,003","6,292",0,28,"33,880"
스타푸드시스템,떡볶이스타,분식,"16,782","1,568",1,5,"47,300"
떡볶이의대부,떡볶이의대부,분식,0,0,0,0,"45,450"
(주)얏트코리아,떡작,분식,0,0,2,0,"47,100"
또오리,또오리,한식,0,0,0,0,"256,100"
뚱볶이,뚱볶이,분식,"83,749","5,874",9,8,"14,300"
오드리인터내셔널,뜰커피,커피,"155,021","6,005",4,3,"98,800"
블루빈컴퍼니(주),라떼킹(Latteking),커피,"89,658","4,684",0,1,"82,300"
서가김푸드FC,라라 수제와플,제과제빵,0,0,1,1,"105,300"
라라맨숀,라라맨숀,주점,0,0,0,0,"103,750"
라라카츠,라라카츠,기타 외식,0,0,0,0,"81,800"
(주)아이언가이즈,라라피자(Lala pizza),피자,0,0,0,0,"124,000"
(주)라붐팩토리,라붐커피(LABOOM COFFEE),커피,0,0,0,0,"270,150"
더맛있는,라온수제돈가스,기타 외식,0,,5,0,"64,700"
(주)제이이아이컴퍼니,라헬의부엌,기타 외식,"240,000","8,983",1,0,"139,250"
라홍부(주),라홍부마라탕,중식,0,0,0,0,"78,300"
(주)제이스타임,레드락,주점,0,0,0,6,"79,420"
(주)케이디앤아이,레이지앤코(LAZY & CO),커피,0,0,2,0,"86,360"
(주)레인드랍커피,레인드랍커피,커피,,,1,0,"56,220"
(주)드림필드코리아,로마로사,제과제빵,0,0,0,0,"8,700"
(주)로봇에프앤비,로봇김밥,분식,"220,387","16,151",0,3,"99,075"
손이가(sonEga),로크마데이(LOKMA DAY),기타 외식,0,0,0,0,"46,280"
(주)해준식품,로플로플(Rofle Rofle),기타 외식,"76,966","4,486",23,7,"6,235"
(주)류가본가,류가본가,한식,0,0,0,0,"106,500"
리얼그릴스테이크220,리얼그릴스테이크220,서양식,,,0,0,"8,500"
리얼파스타,리얼파스타,한식,0,0,4,4,"69,660"
림스상사,림스치킨,치킨,"108,505","5,602",27,18,"51,000"
링스보스턴,링스보스턴,커피,0,0,0,0,"79,100"
(주)엠피대산,마노핀,커피,"41,699","2,527",0,7,"136,920"
마뇨떡볶이,마뇨떡볶이,분식,0,0,1,4,"154,400"
라이크잇키친(LikeeatKitchen),마니피자(MANI PIZZA),피자,0,0,0,0,"94,100"
㈜공유영웅,마라영웅,중식,"548,088","24,225",21,0,"52,600"
씨밀레,마라제작소,중식,0,0,0,0,"46,100"
씨밀레,마라차돌떡볶이,분식,0,0,0,0,"46,100"
마루앤F/D,마루샤브,기타 외식,"804,724","5,245",0,8,"415,200"
마루앤F/D,마루앤국시,한식,0,0,0,0,"308,100"
(주)마리킹,마리왕,분식,0,0,0,1,"69,000"
(주)올림엔터프라이즈,마선생마약국밥,한식,"150,178","8,216",27,33,"62,300"
(주)카오라이프,마스터쿡,한식,0,0,0,0,"89,000"
동탄마약떡볶이본점,마약떡볶이 동탄마떡,분식,0,0,3,0,"48,420"
(주)채움에프앤비,마이크로로스터즈,커피,0,0,0,0,"70,109"
마카국밥국수본점,마카국밥,한식,0,0,0,0,"65,920"
출사표협동조합,마틸다,기타 외식,0,0,0,0,"104,000"
(주)숲풀림식품,마포껍데기,한식,0,0,0,0,"64,000"
더율에프앤비,마포닭발,한식,0,0,2,1,"41,800"
(주)하륜일만족발,막국수파는집,한식,0,0,0,0,"13,200"
맛있는에프앤비(F&B),만나고쪽갈비가,한식,"107,721","4,454",5,7,"63,050"
(주)만뽀당,만뽀,일식,,,0,0,"143,000"
만푸쿠,만푸쿠,일식,0,0,0,0,"64,700"
(주)맘스푸드,맘스케익,제과제빵,"82,730","5,238",11,5,"70,895"
리브가푸드시스템(주),맛나감자탕,한식,"526,128","6,322",4,6,"159,900"
리브가푸드시스템(주),맛나분식,분식,0,0,0,0,"109,500"
(주)이지푸드,맛없으면 환불해주는 장군집,한식,"254,992","25,499",4,13,"32,071"
장인푸드,맛있게매운(빨석구)빨간석쇠구이,치킨,"149,035","8,208",0,9,"46,450"
(주)아쌤프랜차이즈,맛지비불꼬막짬뽕,중식,0,0,1,0,"140,600"
블루밀,망향비빔국수,한식,"495,632","9,082",9,6,"174,300"
(주)맥시칸,맥시칸치킨,치킨,"99,864","7,757",16,42,"29,300"
제이비패밀리컴퍼니,맥아더떡볶이&포장맛차,분식,0,0,0,0,"112,400"
(주)해살이뜰,메밀골동해막국수,한식,"462,395","6,212",0,0,"132,800"
(주)일공공코리아,메밀당막국수,한식,0,0,3,0,"68,200"
닭터박,메칸더김밥,분식,0,0,0,0,"56,000"
(주)아라에프엔비,멕시칸요녀석,기타 외국식,"187,019","9,563",3,6,"27,500"
명가온김밥본점,명가온김밥,분식,0,0,1,0,"71,300"
(주)봉원에프앤비,명동할머니국수,기타 외식,"153,711","10,056",2,6,"68,980"
(주)엠디에프시파트너스,모두국밥,한식,0,0,0,2,"80,300"
(주)엠디에프시파트너스,모두뼈다귀감자탕,한식,"317,767","27,082",12,2,"52,030"
닭터박,모모의 삼계탕,한식,0,0,0,0,"56,000"
(주)서울스토리,모소리,기타 외식,"278,838","17,196",3,1,"107,300"
꿈꾸는식탁,모심뚝배기,한식,0,0,0,0,"65,700"
(주)엠엔에스에프,모자온달,기타 외식,"130,323",0,6,0,"52,470"
(주)마스터코리아,모캄보,커피,"119,176","2,326",2,6,"150,400"
(주)사실주의컴퍼니,모쿠네 떡볶이,분식,0,0,0,0,"67,980"
(주)팀브로,목구멍,한식,"651,463","20,915",34,0,"121,400"
(주)야베스코리아,몬스터스시&사시미,일식,"609,928","41,776",1,0,"117,750"
엔타스시,무모한 족발&보쌈,한식,0,0,0,0,"67,120"
엔타스시,무모한 치킨,치킨,0,0,0,0,"67,120"
엔타스시,무모한 커피,커피,0,0,0,0,"67,120"
엔타스시,무모회,일식,0,0,0,0,"67,120"
정상FC,무원골 흑돈대패,한식,0,0,0,0,"101,200"
닭터박,미구엘의 돈까스가게,기타 외식,0,0,0,0,"56,000"
(주)짬뽕관,미미 된장집,한식,0,0,0,0,"145,700"
(주)짬뽕관,미미 찌개방,한식,0,0,0,0,"145,700"
(주)호박패밀리,미미담(美味啖),한식,,,0,1,"132,450"
이룸커뮤니케이션,미미당,분식,"60,198","2,087",4,2,"81,950"
(주)밀빛,미사리밀빛초계국수,한식,"279,924","6,287",1,3,"82,700"
(주)미금,미사옥,한식,0,0,1,0,"67,150"
미사화로,미사화로,한식,0,0,0,0,"66,800"
더뚜껑스솥뚜껑삼겹살,미삼집,한식,0,0,1,0,"12,000"
(주)자력갱생,미세스복희,분식,0,0,0,0,"44,942"
예령산업,미소그릴,한식,0,0,0,0,"22,000"
(주)엠피대산,미스터피자&떡볶이,분식,0,0,0,0,"107,500"
(주)엠피대산,미스터피자,피자,"255,129","8,684",35,52,"174,884"
보승FC,미쓰족발,기타 외식,"246,749","8,524",1,4,"99,520"
(주)지오비에이엔,미월당,분식,0,0,1,1,"95,500"
(주)수정,미쳐버린파닭,치킨,"94,309","5,073",2,14,"28,100"
(주)올바른에프앤비,미카도스시,일식,"664,490","23,041",19,6,"136,450"
미콩커피본사,미콩커피,커피,"200,000","8,450",0,0,"50,050"
